lesion,min_barcode_id,z,lesion_dissem_type,lesion_id
RLL05,2,-127.613998,disseminating,1
RLL06,2,-127.613998,disseminating,2
RLL15,1,-147.613998,disseminating,3
RLLD,1,-152.613998,disseminating,4
RLL20,1,-153.863998,disseminating,5
RLLC,1,,disseminating,6
RLL01,3,-108.863998,containing,7
RLL04,4,-122.613998,containing,8
RLL07,5,-127.613998,containing,9
RLL09,7,-135.113998,containing,10
RLL10,9,-140.113998,containing,11
RLL13,11,-141.363998,containing,12
RLLG,12,-146.363998,containing,13
RLL16,13,-147.613998,containing,14
RLL19,14,-153.863998,containing,15
RLLI,15,,containing,16
RLLF,16,,containing,17
