barcode_dissem_type,,,,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,contained,disseminated,disseminated,disseminated
barcode_id,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,1,2,3
lesion_locus,lesion,z,lesion_dissem_type,,,,,,,,,,,,,,,,,,,,,
RLL,RLL01,-144.988998,contained,100,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL05,-156.238998,contained,0,-1,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL04,-156.238998,contained,0,0,100,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL08,-157.488998,disseminating,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,100.0,0.0,0.0
RLL,RLL11,-159.988998,disseminating,0,0,0,14.1203101421,64.5053858563,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,21.3743040017,0.0,0.0
RLL,RLL12,-161.238998,contained,0,0,0,0.0,0.0,100,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL13,-161.238998,contained,0,0,0,0.0,0.0,0,100,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL14,-162.488998,contained,0,0,0,0.0,0.0,0,0,100,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL16,-167.488998,disseminating,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,100.0,0.0
RLL,RLL17,-167.488998,disseminating,0,0,0,0.0,0.0,0,0,0,0,40.6881092855,0,0,0,0.0,0.0,0.0,0,0,0.0,59.3118907145,0.0
RLL,RLL15,-167.488998,contained,0,0,0,0.0,0.0,0,0,0,100,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL18,-167.488998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,100,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL20,-172.488998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,0,100,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL23A,-174.988998,disseminating,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,86.2553191489,0.0,0,0,0.0,0.0,13.7446808511
RLL,RLL23B,-174.988998,disseminating,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100.0
RLL,RLL22,-174.988998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,100,0.0,0.0,0.0,0,0,0.0,0.0,0.0
RLL,RLL23C,-174.988998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,82.261289785,0.0,17.738710215,0,0,0.0,0.0,0.0
RLL,RLL24,-176.238998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,100,0,0.0,0.0,0.0
RLL,RLL26,-177.488998,contained,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,100,0.0,0.0,0.0
