barcode_dissem_type,,,,contained,contained,contained,contained,contained,contained,contained,contained,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated,disseminated
barcode_id,,,,14,15,16,17,18,19,20,21,1,2,3,4,5,6,7,8,9,10,11,12,13
lesion_locus,lesion,z,lesion_dissem_type,,,,,,,,,,,,,,,,,,,,,
ACC,ACC01A,-87.579002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACC,ACC01B,-87.579002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLLA,-68.829002,disseminating,0,0,0,0.0,0.0,0,0.0,0,100,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL02,-78.829002,contained,100,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL03,-81.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL04,-85.079002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLLA doublet,-86.3,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,76.7925006334,23.2074993666,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL05,-86.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,100,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL06B,-86.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL09,-88.829002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL10,-91.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL11,-91.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL12B,-92.579002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL12A,-93.829002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL13,-95.079002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
RLL,RLL14A,-96.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL14B,-96.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL15,-97.579002,contained,0,100,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL19,-101.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
RLL,RLL17,-101.329002,contained,0,0,100,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL20,-102.579002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
RLL,RLL21,-106.329002,contained,0,0,0,40.797471432,59.202528568,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLL,RLL22,-108.829002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
RLL,RLL23,-113.829002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,44.0033281826,55.9966718174
RLL,RLL25,-116.329002,disseminating,0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
RLL,RLL24,-116.329002,contained,0,0,0,0.0,0.0,100,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
