monkey	tube	tissue	count	dilution	sample_type	tissue_type
16414	1	RLL Gran 12	3	Neat	scrapate	gran
16914	1	Gran C	4	Neat	scrapate	gran
16914	2	LLL Gran 14	1	Neat	scrapate	gran
17014	1	LLL Gran 12	1	Neat	scrapate	gran
17014	2	L Cran HLN 2 Gran	4	Neat	scrapate	ln
17014	3	LLL Gran 10	1	Neat	scrapate	gran
17014	4	LLL Gran 2	1	Neat	scrapate	gran
17014	5	L Carin LN	1	Neat	scrapate	ln
16614	1	LML Gran 2 A	2	Neat	scrapate	gran
16614	2	LML	2	Neat	scrapate	lung
16614	3	R Car LN 2	1	Neat	scrapate	ln
16614	4	LLL	1	Neat	scrapate	lung
16614	5	Access	1	Neat	scrapate	lung
16614	6	Access (2)	1	10^-1	scrapate	lung
16614	7	RML LN W/ Gran	2	Neat	scrapate	ln
16614	8	RML LN W/ Gran (2)	1	10^-1	scrapate	ln
16614	9	L Carin LN Gran	1	Neat	scrapate	ln
16614	10	RLL Gran 2	6	Neat	scrapate	gran
16614	11	RLL Gran 7	2	10^-1	scrapate	gran
16614	12	LLL Gran 3	5	Neat	scrapate	gran
16614	13	LLL Gran 4	3	Neat	scrapate	gran
16614	14	RLL Gran 12	3	Neat	scrapate	gran
16614	15	RLL Gran 11	6	Neat	scrapate	gran
16614	16	RLL Gran 10	1	Neat	scrapate	gran
16614	17	RLL Gran 9	1	Neat	scrapate	gran
16614	18	R. Carin LN 3	6	Neat	scrapate	ln
16614	19	R. Cran HLN Gr	48	Neat	scrapate	ln
16614	20	RLL Gran 5	79	Neat	scrapate	gran
16614	21	RLL Gran 3	9	Neat	scrapate	gran
16614	22	RLL Gran B	1	Neat	scrapate	gran
16614	23	RLL Gran 16	2	Neat	scrapate	gran
16614	24	RLL Gran 14	2	Neat	scrapate	gran
16614	25	RLL Gran 4	2	Neat	scrapate	gran
16614	26	RLL Gran 6	2	Neat	scrapate	gran
16614	27	RLL Gran 1	178	Neat	scrapate	gran
16314	1	LUL Gran 8	39	Neat	scrapate	gran
16314	2	LUL Gran 5	20	Neat	scrapate	gran
16314	3	LUL Gran 4	40	Neat	scrapate	gran
16314	4	LUL Gran B	2	Neat	scrapate	gran
16314	5	LUL Gran 3	13	Neat	scrapate	gran
16314	6	RLL Gran G	98	Neat	scrapate	gran
16314	7	RUL Gran 1	1	Neat	scrapate	gran
16314	8	LML Gran C	4	Neat	scrapate	gran
16314	9	LML Gran D	1	Neat	scrapate	gran
16314	10	LML Gran E	3	Neat	scrapate	gran
16314	11	LML Gran F	21	Neat	scrapate	gran
16314	12	LUL Gran 1	16	Neat	scrapate	gran
16314	13	LUL Gran 2	13	Neat	scrapate	gran
16314	14	LUL Gran F	21	Neat	scrapate	gran
16314	15	LML 	63	Neat	scrapate	lung
16314	16	Access	90	Neat	scrapate	lung
16314	17	R Cran HLN	14	Neat	scrapate	ln
16314	18	RLL	15	Neat	scrapate	lung
16314	19	L Cran HLN 1	13	Neat	scrapate	ln
16314	20	L Cran HLN 2	54	Neat	scrapate	ln
16314	21	RUL	120	Neat	scrapate	lung
16314	22	LUL Gran J	9	Neat	scrapate	gran
16314	23	Acc Gran 1	18	Neat	scrapate	gran
