monkey,tube,tissue_name,tissue_type,count,weight,vol,CFU_per_gram,CFU_per_granuloma,sample_type
18014,1,RLL gr 8 NEW,Gran,4,,< 5,,38.48096,scrapate
18014,2,RLL gr 10 ,Gran,43,,< 5,,807.7344675,scrapate
18014,3,RLL gr 21,Gran,80,,< 5,,4123.476,scrapate
18014,4,RLL gr 11,Gran,53,,< 5,,1736.223025,scrapate
18014,5,RLL gr 9,Gran,40,,< 5,,1223.2738,scrapate
18014,6,RLL gr 6B,Gran,35,,< 5,,707.83935,scrapate
18014,7,RLL gr 5,Gran,20,,< 5,,550.47321,scrapate
18014,8,RLL gr 3,Gran,65,,< 5,,3099.446213,scrapate
18014,9,RLL gr 4,Gran,53,,< 5,,2048.852138,scrapate
18014,10,RLL gr 22,Gran,97,,< 5,,3972.019656,scrapate
18014,11,RLL gr 23,Gran,115,,< 5,,5713.505469,scrapate
18014,12,RLL gr 25,Gran,47,,< 5,,2617.679981,scrapate
18014,13,RLL gr 24,Gran,89,,< 5,,1393.185419,scrapate
18014,14,RLL gr A,Gran,2,,< 5,,47.18929,scrapate
18014,15,RLL gr A doublet,Gran,39,,< 5,,920.191155,scrapate
18014,16,RLL gr B,Gran,23,,< 5,,477.4639,scrapate
18014,17,RLL gr C,Gran,20,,< 5,,64.13493333,scrapate
18014,18,RLL gr 12A,Gran,74,,< 5,,1390.054665,scrapate
18014,19,RLL gr 12B,Gran,130,,< 5,,1278.043271,scrapate
18014,20,RLL gr 13,Gran,10,,< 5,,125.8381067,scrapate
18014,21,RLL gr 14A,Gran,16,,< 5,,0,scrapate
18014,22,RLL gr 14B,Gran,3,,< 5,,28.86072,scrapate
18014,23,RLL gr 15,Gran,97,,< 5,,2160.978368,scrapate
18014,24,RLL gr 17,Gran,36,,< 5,,1237.0428,scrapate
18014,25,RLL gr 19,Gran,19,,< 5,,315.54136,scrapate
18014,26,RLL gr 20,Gran,122,,< 5,,1972.374863,scrapate
18014,27,Access,Lung,1,,< 5,,0,scrapate
18014,28,RLL,Lung,15,,< 5,,1080,scrapate
18014,29,L. Subclav LN,LN,1,,< 5,,20,scrapate
18014,30,Exudate of Access Airway,Other,14,,< 5,,210,scrapate
18014,31,ACC gr 1B,Gran,93,,< 5,,1462.86799,scrapate
18014,32,RLL gr 2,Gran,25,,< 5,,180.8922783,scrapate
18014,33,ACC gr 1A,Gran,14,,< 5,,168.3542,scrapate
18014,34,Central Carinal LN gr,LN gr,14,,< 5,,5600,scrapate
18014,35,R. Cranial HLN gr,LN gr,20,,< 5,,12000,scrapate
18114,1,RLL gr B,Gran,3,,< 5,,9.62024,scrapate
18114,2,RLL gr C,Gran,9,,< 5,,76.96192,scrapate
18114,3,RLL gr D,Gran,8,,< 5,,76.96192,scrapate
18114,4,RLL gr E,Gran,30,,< 5,,278.98696,scrapate
18114,5,RLL gr F,Gran,11,,< 5,,212.351805,scrapate
18114,6,RLL gr 13,Gran,20,,< 5,,1502.7618,scrapate
18114,7,RLL gr 15,Gran,4,,< 5,,70.783935,scrapate
18114,8,RLL gr 16,Gran,19,,< 5,,1427.62371,scrapate
18114,9,RLL gr 17,Gran,62,,< 5,,1029.66128,scrapate
18114,10,RLL gr 19 doublet ,Gran,15,,< 5,,773.15175,scrapate
